Achievement Standard ID,Year Level,Subject,Standard Text,Codes,Category,Linked Content Descriptor Codes
P-AS-01,Foundation,Maths,"Students make connections between number names, numerals and position in the sequence of numbers from zero to at least 20.",AC9MFN01,Number,AC9MFN01
P-AS-02,Foundation,Maths,"They collect, sort and compare data in response to questions in familiar contexts.",AC9MFST01,Number,AC9MFST01
P-AS-03,Foundation,Maths,They compare the size of collections to at least 20.,AC9MFN03,Number,AC9MFN03
P-AS-04,Foundation,Maths,They copy and continue repeating patterns.,AC9MFA01,Algebra,AC9MFA01
P-AS-05,Foundation,Maths,They describe the position and the location of themselves and objects in relation to other objects and people within a familiar space.,AC9MFSP02,Space,AC9MFSP02
P-AS-06,Foundation,Maths,"They identify the attributes of mass, capacity, length and duration, and use direct comparison strategies to compare objects and events.",AC9MFM01,Measurement,AC9MFM01
P-AS-07,Foundation,Maths,"They name, create and sort familiar shapes and give their reasoning.",AC9MFSP01,Space,AC9MFSP01
P-AS-08,Foundation,Maths,"They partition and combine collections up to 10 in different ways, representing these with numbers.","AC9MFN02, AC9MFN04",Number,"AC9MFN02, AC9MFN04"
P-AS-09,Foundation,Maths,"They represent practical situations that involve quantifying, equal sharing, adding to and taking away from collections to at least 10.","AC9MFN03, AC9MFN05, AC9MFN06",Number,"AC9MFN03, AC9MFN05, AC9MFN06"
P-AS-10,Foundation,Maths,They sequence and connect familiar events to the time of day.,AC9MFM02,Measurement,AC9MFM02
P-AS-11,Foundation,Maths,They use subitising and counting strategies to quantify collections.,"AC9MFN02, AC9MFN03, AC9MFN04, AC9MFN05",Number,"AC9MFN02, AC9MFN03, AC9MFN04, AC9MFN05"
Y1-AS-01,Year 1,Maths,"Students connect number names, numerals and quantities, and order numbers to at least 120.",AC9M1N01,Number,AC9M1N01
Y1-AS-02,Year 1,Maths,"They collect and record categorical data, create one-to-one displays, and compare and discuss the data using frequencies.","AC9M1ST01, AC9M1ST02",Statistics,"AC9M1ST01, AC9M1ST02"
Y1-AS-03,Year 1,Maths,"They compare and order objects and events based on the attributes of length, mass, capacity and duration, communicating reasoning.","AC9M1M01, AC9M1M03",Measurement,"AC9M1M01, AC9M1M03"
Y1-AS-04,Year 1,Maths,They demonstrate how one- and two-digit numbers can be partitioned in different ways and that two-digit numbers can be partitioned into tens and ones.,"AC9M1N02, AC9M1N04",Number,"AC9M1N02, AC9M1N04"
Y1-AS-05,Year 1,Maths,They give and follow directions to move people and objects within a space.,AC9M1SP02,Space,AC9M1SP02
Y1-AS-06,Year 1,Maths,"They make, compare and classify shapes and objects using obvious features.",AC9M1SP01,Space,AC9M1SP01
Y1-AS-07,Year 1,Maths,They measure the length of shapes and objects using uniform informal units.,AC9M1M02,Measurement,AC9M1M02
Y1-AS-08,Year 1,Maths,"They partition collections into equal groups and skip count in twos, fives or tens to quantify collections to at least 120.",AC9M1N03,Number,AC9M1N03
Y1-AS-09,Year 1,Maths,"They solve problems involving addition and subtraction of numbers to 20 and use mathematical modelling to solve practical problems involving addition, subtraction, equal sharing and grouping, using calculation strategies.","AC9M1N04, AC9M1N05, AC9M1N06",Number,"AC9M1N04, AC9M1N05, AC9M1N06"
Y1-AS-10,Year 1,Maths,"They use numbers, symbols and objects to create skip counting and repeating patterns, identifying the repeating unit.","AC9M1A01, AC9M1A02",Algebra,"AC9M1A01, AC9M1A02"
