"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9M3A01","[]","Recognise addition and subtraction as inverses","Student can recognise that addition and subtraction undo each other.","1","early","The student says if 8 + 5 = 13 then 13 - 5 = 8.","Student treats the two operations as unrelated.","Give an addition fact. Ask the student for the related subtraction.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A01","[]","Write a fact family","Student can write the family of addition and subtraction facts for three numbers.","2","middle","For 6, 7 and 13, the student writes 6+7, 7+6, 13-6, 13-7.","Student writes only one or two facts, or includes facts that do not belong.","Give three related numbers. Ask the student to write the whole fact family.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A01","[]","Find an unknown in a number sentence","Student can find an unknown value in an addition or subtraction number sentence.","3","middle","For 8 + __ = 15, the student finds 7.","Student adds the two visible numbers regardless of where the unknown is.","Pose number sentences with the unknown in different positions. Ask the student to solve each.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A01","[]","Use the inverse to find an unknown","Student can use the inverse operation to find an unknown.","4","late","For __ - 9 = 16, the student uses 16 + 9 = 25.","Student subtracts when they should add to undo the operation.","Pose sentences where the inverse is needed. Ask the student to find the unknown.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A02","[]","Recall addition and subtraction facts to 20","Student can recall addition and related subtraction facts to 20.","1","early","Asked 9 + 7, the student answers 16 without counting.","Student counts on from materials every time rather than recalling.","Quickfire facts to 20. Listen for recall rather than counting.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A02","[]","Extend a fact to larger numbers","Student can extend a known fact to a related larger calculation.","2","middle","Knowing 7 + 8 = 15, the student works out 70 + 80 = 150.","Student treats the larger calculation as unrelated to the known fact.","Give a basic fact. Ask the student to use it for a related tens or hundreds calculation.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A02","[]","Use a mental partitioning strategy","Student can use partitioning to add or subtract larger numbers mentally.","3","middle","For 53 + 28, the student adds 50+20 then 3+8 to get 81.","Student tries to hold all digits at once and loses track.","Pose two-digit additions. Ask the student to solve mentally and explain the strategy.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A02","[]","Derive a subtraction from an addition","Student can derive a subtraction fact from a known addition fact.","4","late","Knowing 60 + 40 = 100, the student says 100 - 40 = 60.","Student recalculates from scratch rather than using the known addition.","Give an addition fact for larger numbers. Ask for the related subtraction.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A03","[]","Recall the 10 multiplication facts","Student can recall multiplication facts for 10.","1","early","Asked 7 x 10, the student answers 70 straight away.","Student adds a zero without understanding, or miscounts groups.","Quickfire 10 times facts. Listen for recall.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A03","[]","Recall the 5 multiplication facts","Student can recall multiplication facts for 5.","2","early","Asked 6 x 5, the student answers 30.","Student skip counts slowly each time rather than recalling.","Quickfire 5 times facts. Listen for recall.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A03","[]","Recall the 3 and 4 multiplication facts","Student can recall multiplication facts for 3 and 4.","3","middle","Asked 4 x 6, the student answers 24.","Student confuses the 3 and 4 facts, or relies on repeated addition.","Quickfire 3 and 4 times facts. Listen for recall.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A03","[]","Recognise the pattern in the 5 facts","Student can recognise that multiples of 5 end in 5 or 0.","4","middle","The student says any answer in the 5 times table ends in 5 or zero.","Student does not notice the pattern, or thinks it applies to other tables.","Show the 5 times table. Ask the student what pattern they notice in the answers.","False","False","system_default","","","False","pending_review","",""
"","AC9M3A03","[]","Derive a division fact from a multiplication fact","Student can use a known multiplication fact to state a related division fact.","5","late","Knowing 4 x 5 = 20, the student says 20 divided by 5 = 4.","Student cannot connect the multiplication and division facts.","Give a known multiplication fact. Ask the student for a related division fact.","False","False","system_default","","","False","pending_review","",""
