Code,Subject,Year Level,Band,Strand,Descriptor,elaborations,Linked Achievement IDs
AC9ADRFE01,Drama,Foundation,F-1,Exploring and Responding,explore how and why the arts are important for people and communities,"exploring how facial expressions, gestures and other ways of moving, and using voice or language, can communicate emotions and feelings in arts works; for example, characters in portraits, cartoons, songs, chants or dances from different times and cultures|identifying and/or learning social or cultural dances that have meaning for people and communities, taking care to observe relevant protocols; for example, working with community representatives or using accredited resources|using dramatic play to explore ideas or understandings they observe or perceive in a text or image (print or screen); for example, exploring questions such as “What is happening?”, “What will happen next?”|identifying arts works and experiences in their lives, such as songs they sing, dances or drama they watch or perform, animations, computer games or music videos, public art, 2D, 3D or screen-based works they encounter at school or in community settings and sharing ideas and feelings about the works with peers and teachers|singing songs that are used for celebrations, such as school songs, anthems, sports teams’ songs, birthday songs and songs that help teach content or concepts from other learning areas, such as health messages|exploring how illustrations/images in a text (fiction or non-fiction, print or screen) help to communicate narrative or information about characters, settings and/or mood|listening to First Nations Australians talk about the importance of the arts for connecting to people, culture and Country/Place; for example, using resources created or co-created by First Nations Australians",
AC9ADRFD01,Drama,Foundation,F-1,Developing Practices and Skills,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas","playing with the tactile qualities of a range of materials (rough, smooth, spikey, gooey) and exploring how they feel about these qualities to develop ideas for a visual artwork, dance or soundscape; for example, using art materials, movement and/or voice to depict or embody the tactile qualities they have discovered; moving their body to communicate the smooth or rough qualities of a stone or ball|imagining how the characters in a story they are reading might dress or move, and making still or moving images to communicate ideas about the characters; for example, working in groups and using dramatic play to imagine possibilities about characters and situations or asking questions such as “What happens next?”|identifying and describing shapes, colours and lines they observe in their environment and exploring ways to use these shapes creatively; for example, imagining and trialling ways to use geometric and organic shapes and collage techniques to represent a familiar object such as a face; improvising movements that trace a series of shapes such as circle, rectangle and triangle; improvising a melody that follows the contour of the shape or working collaboratively to form frozen or still images of each shape|playing games to develop subject-specific practices such as pitch, beat and/or rhythm recognition; exploring ways that body parts, zones and bases can be moved safely and expressively; taking on the point of view of a fictional character in dramatic play|responding to the emotions they experience while listening to different pieces of music and using movement to share their response; for example, using scarves and movement, or creating visual images using materials such as crayons or paint|improvising rhythmic patterns for clapping or stamping or inventing new movements for familiar action songs, and interpreting these visually by using elements of art/design such as shapes, lines and/or colours and materials such as paper and pencil or string|exploring their speaking and singing voices and discovering ways to use their voices/vocalisation to communicate ideas and feelings|improvising movements to explain the steps in a process, and then using a camera to capture a series of images or a photographic story that can be displayed in the classroom to remind everybody about the process",
AC9ADRFC01,Drama,Foundation,F-1,Creating and Making,create arts works that communicate ideas,"creating arts works in a range of forms to communicate ideas from lived personal or social experiences; for example, creating a dance or scenes showing favourite activities such as games; using digital devices to record their peers playing a game and creating a voice-over that describes what's happening; composing a song or chant about a favourite food or activity; drawing a home scene of people and animals|creating works in response to inspiration from sources such as play, imagination, observation, literature, artworks from their cultures and communities or arts knowledge and skill development activities|extending and varying known songs, chants or rhymes; for example, changing words, interpreting without using voice, adding movements/actions or improvising rhythm patterns as accompaniment|manipulating objects, puppets, 2D images and/or available technologies to create or retell stories|devising a chant/rap that a character from an animated series, a text or a fictional hero could use to communicate a health or sustainability message or to learn the steps in a process; recording the chant/rap using an available digital device and sharing live or via a school-managed space such as a learning management system|repurposing materials and objects such as clothing or packing boxes as starting points for imagining and developing scenes and scenarios; for example, using packing boxes to create an imagined environment or vehicle|considering as a class the characters and situations associated with a story and then re-imagining them by asking questions of the story, such as “What’s up?”, “What happens next?” or “What else might/could happen?"" to support the development of their own socio-dramatic or miniature worlds play",
AC9ADRFP01,Drama,Foundation,F-1,Presenting and Performing,share their arts works with audiences,"sharing their artworks with the class via a “gallery” or “performance walk”; for example, walking around the space looking at the works and using positive language to comment on the works and identify features such as similarities or differences, use of materials and elements of art/design, such as line|performing songs, soundscapes or chants/raps, using music skills they have learnt and practised, such as listening to and aiming to match starting pitch, staying in time with the group or following the agreed plan; for example, following a graphic score when performing a soundscape|taking images of class arts events (with permission from the people involved), creating an image sequence to document the occasion, and adding sound; for example, importing the images to a software program, sequencing the images, and using instruments and voices to create a soundscape to accompany the images|talking about ideas such as themes, processes used to make the work, or features of the work such as patterns, pathways or lines; for example, talking with the teacher and explaining the important features of their work|presenting retellings of stories to peers; for example, through dramatic play using repurposed objects, toys or puppets they have made|sharing their work with their teacher and responding to questions such as “What is going on in your work?”, “Tell me the story of what is happening?”, “What did you enjoy about making this work?”|performing movement/dance sequences they have created for other groups in their class and introducing their work by describing their favourite moments in the sequence or explaining why they chose a particular movement|using digital devices to record their arts explorations; for example, curating (selecting, ordering) a sequence of digital images (photos) to show the steps in a process; for example, images that show how they created new colours by mixing primary colours (using playdough or paint) and adding commentary that expresses their feelings, emotions and understandings",
AC9ADR2E01,Drama,Year 2,1-2,Exploring and Responding,"explore where, why and how people across cultures, communities and/or other contexts experience drama","identifying where they might experience drama in their lives and community; for example, sharing experiences of attending drama performances at their school or taking part in drama in their community, and considering why these performances might have been created|recognising how drama can show feelings and ideas that people have about the world or personal experiences|asking questions about the drama they experience; for example, “How and why are these people making drama?”, “Where are they making drama?”, “What is the drama about?”|considering how drama communicates cultural knowledge in their own communities; for example, exploring how drama communicates stories, traditions and experiences that are important to people, such as drama that communicates stories from cultures, countries or regions in Asia",
AC9ADR2E02,Drama,Year 2,1-2,Exploring and Responding,explore examples of drama created and/or performed by First Nations Australians,"exploring when, where, how and why First Nations Australians use drama to share knowledge about their cultures; for example, during celebrations such as National Aboriginal and Torres Strait Islander Children’s Day, NAIDOC Week, Reconciliation Week or the acknowledgement of significant occasions including Sorry Day|exploring First Nations Australians’ use of drama to express connection to and responsibility for Country/Place, such as communicating knowledge about the local seasons, or storytelling to communicate knowledge to maintain unique ways of life|observing how the elements of drama such as place, language and movement are used in First Nations Australians’ cultural expressions that they experience; for example, through direct engagement or using resources created or co-created by First Nations Australians|exploring ways of communicating knowledge through stories; for example, learning about stories that communicate knowledge of the environment in their region, through direct engagement (co-creating drama to share the knowledge) or using resources created or co-created by First Nations Australians|co-creating a Welcome to Country (as appropriate) or an Acknowledgement of Country to perform before their drama class with a First Nations Australian person who has cultural authority, or using advice from a resource such as protocols from their school sector",
AC9ADR2D01,Drama,Year 2,1-2,Developing Practices and Skills,use the elements of drama and imagination in dramatic play and/or process drama,"exploring a situation through dramatic play using familiar props; for example, empty containers (boxes, plastic bottles, food packaging), clothing or toys|understanding and employing appropriate drama terminology when discussing drama they have created and/or experienced; for example, using terms such as dramatic play, process drama, pretending, audience, theatre, performance, actors|understanding and employing own language and drama terminology relating to the elements of drama, including role, place, situation, language and movement|taking part in purposeful dramatic play focusing on creating roles and situations; for example, developing ideas from texts such as children’s literature or images|taking turns in offering and accepting ideas, and staying in a role when participating in improvised drama|brainstorming and discussing situations based on their experiences, such as situations related to games played during break time, and using these ideas to improvise drama",
AC9ADR2C01,Drama,Year 2,1-2,Creating and Making,create and co-create fictional situations based on imagination and/or experience,"using puppets to create new stories, including stories that communicate their understanding of existing stories or personal experiences; for example, using puppets they have made from repurposed or recycled materials and/or puppets that are modelled on puppets used in an Asian culture|using learning from explorations of drama that communicates First Nations Australians’ connection to and responsibility for Country/Place to devise drama that communicates their own connection to and responsibility for place; for example, devising short scenes that communicate feelings about a “favourite” place or show how they care for a place in their community|using costume items and props to share information about their character with other participants in the drama when “in-role” during Readers’ Theatre|identifying situations drawn from stories, films, fantasy, history or personal experience that might be explored through dramatic play, process drama or puppetry|considering how unstructured materials might be used to create play spaces, or everyday clothing items might be used to symbolise roles (hats, coats, lab coats, briefcases, etc.)|contributing ideas and actions within whole group or small group improvisations as part of a process drama to support or extend the offerings of others, including teacher-in-role|communicating non-verbally by using facial expressions and movements to explore and show role and situation when participating in mime or movement-based drama|accepting the pretence situation established by others or participating in its active development; for example, by creating relevant props and suggesting relevant roles or additional situations to explore|using inquiry questions to propose situations to explore in dramatic play and process drama, such as “What else might happen to these characters?”, “What might happen next?”, “What might have happened before the story?”, “What if I was there?”",
AC9ADR2P01,Drama,Year 2,1-2,Presenting and Performing,share their drama in informal settings,"retelling a familiar story through acting and sharing with an audience|performing sequences of frozen images linked by transitions in order to communicate key scenes from a familiar story|considering their personal responses to drama experiences at school, in their homes or in their communities; for example, reflecting on their drama using questions such as, “What do you want your audience to think about your drama?”, “What did this drama make you think about?”, “How did you feel when making/watching the drama?”, and evaluating: “What did you like best in the drama? Why?”",
AC9ADR4E01,Drama,Year 4,3-4,Exploring and Responding,"explore where, why and how drama is created and/or performed across cultures, times, places and/or other contexts","listening to actors in a drama created for purposes such as entertainment or infotainment talk about how they developed their character and what they found interesting or surprising about the imaginary world they created; then considering and discussing the actors’ responses|comparing the expectations and requirements of performers and audience in a range of cultural settings, such as cultural settings in Australia and Asia, and applying this learning in their own performances; for example, identifying how the audience and performers interact and what knowledge the audience needs to have about the drama|reflecting on live or recorded drama performances and asking questions such as “What is the purpose of this drama?”, “What features and ideas in the drama come from other cultures, times and places?”, “How could we use these ideas in our drama?”, “Why do you think people from diverse cultures create drama for similar purposes?”|examining drama in their community and comparing it to other drama of different people, times and cultures; for example, exploring examples of puppetry and/or physical (movement-based) theatre in their communities and comparing this with examples of those forms from other cultures, times or places|reflecting on and sharing ideas with others about the meaning and intended purposes of their own drama; for example, sharing embodied responses using movement, gesture or language",
