"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9M6N01","[]","Recognise situations that use integers","Student can recognise everyday and financial situations that use negative integers.","1","early","The student says a temperature of minus 3 degrees and a debt of $5 use negative integers.","Student treats every number as positive, not recognising negatives in context.","Name situations (temperature, money owed, floors below ground). Ask the student which use integers.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N01","[]","Locate an integer on a number line","Student can locate a positive or negative integer on a number line.","2","early","The student marks minus 4 to the left of zero.","Student places negatives to the right of zero, or in the wrong order.","Give a number line through zero. Ask the student to mark several integers.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N01","[]","Order integers","Student can order a set of integers including negatives.","3","middle","The student orders minus 5, minus 2, 0, 3 from least to greatest.","Student orders negatives as if larger ones are greater, putting minus 5 above minus 2.","Give a set of integers. Ask the student to order them from least to greatest.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N01","[]","Use integers in a financial context","Student can use integers to represent amounts in a financial context.","4","middle","The student writes a $20 debt as minus 20 and a $30 credit as plus 30.","Student writes both as positive, losing the direction.","Pose financial situations. Ask the student to represent each with an integer.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N01","[]","Plot integers as coordinates","Student can plot points with integer coordinates on the Cartesian plane.","5","late","The student plots (minus 2, 3) in the correct quadrant.","Student ignores the sign and plots in the wrong quadrant.","Give integer coordinates. Ask the student to plot each on the Cartesian plane.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N02","[]","Identify prime and composite numbers","Student can identify whether a number is prime or composite.","1","early","The student says 7 is prime and 12 is composite.","Student calls 1 prime, or labels a number by appearance rather than its factors.","Give numbers. Ask the student to classify each as prime or composite.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N02","[]","Explain why a number is prime or composite","Student can explain a classification using factors.","2","middle","The student says 13 is prime because its only factors are 1 and 13.","Student gives a classification with no reference to factors.","Give numbers. Ask the student to classify each and explain why.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N02","[]","Identify square numbers","Student can identify square numbers and explain why.","3","middle","The student says 16 is a square number because 4 x 4 = 16.","Student confuses square numbers with even numbers or doubles.","Give numbers. Ask the student which are square and why.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N02","[]","Express a composite number as a product of factors","Student can express a composite number as a product of its prime factors.","4","middle","The student writes 24 as 2 x 2 x 2 x 3.","Student writes a product that does not equal the number, or stops before all factors are prime.","Give composite numbers. Ask the student to express each as a product of factors.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N02","[]","Use number properties to simplify a calculation","Student can use prime, composite or square properties to simplify a calculation.","5","late","The student uses factors to simplify a multiplication.","Student does not use the properties to find an easier route.","Pose calculations. Ask the student to use number properties to simplify each.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N03","[]","Find equivalent fractions to compare","Student can find equivalent fractions to compare two fractions.","1","early","To compare 2/3 and 3/4, the student rewrites both as twelfths.","Student compares numerators or denominators directly.","Give pairs of fractions. Ask the student to find equivalents to compare them.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N03","[]","Compare and order common fractions","Student can compare and order common fractions including halves, thirds and quarters.","2","middle","The student orders 1/2, 2/3, 3/4 correctly.","Student orders by numerator or denominator alone.","Give several fractions. Ask the student to order them.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N03","[]","Represent fractions on the same number line","Student can place several fractions on the same number line.","3","middle","The student places 1/2, 2/3 and 3/4 in the right positions on one line.","Student uses different scales for different fractions on the same line.","Give a number line. Ask the student to place several fractions on it.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N03","[]","Justify the order of fractions","Student can justify the order of a set of fractions.","4","late","The student explains 2/3 is greater than 1/2 because 4/6 is more than 3/6.","Student orders correctly but cannot justify it.","After ordering fractions, ask the student to justify the order.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N04","[]","Add decimals using place value","Student can add decimals by lining up place value.","1","early","For 3.45 plus 2.7, the student aligns the points and finds 6.15.","Student lines up the digits from the right instead of by place value.","Pose decimal additions. Ask the student to solve using place value.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N04","[]","Subtract decimals using place value","Student can subtract decimals by lining up place value.","2","middle","For 6.3 minus 2.45, the student aligns the points and finds 3.85.","Student misaligns the place values, or mishandles the empty place.","Pose decimal subtractions. Ask the student to solve using place value.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N04","[]","Work with decimal measurements","Student can add or subtract linear measurements expressed as decimals.","3","middle","The student adds 1.25 m and 0.8 m to get 2.05 m.","Student ignores the units or misaligns the decimals.","Pose measurement problems with decimals. Ask the student to solve each.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N04","[]","Estimate to check a decimal calculation","Student can use estimation and rounding to check a decimal calculation.","4","late","For 3.45 plus 2.7, the student estimates about 6 and sees 6.15 is reasonable.","Student accepts an unreasonable answer without checking.","Give answered decimal calculations. Ask the student to estimate and judge each.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N05","[]","Find a common denominator","Student can find a common denominator for two fractions with related denominators.","1","early","For 1/2 and 1/3, the student finds sixths.","Student multiplies the denominators without simplifying, or cannot find a common one.","Give pairs of fractions. Ask the student to find a common denominator.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N05","[]","Add fractions with related denominators","Student can add fractions with related denominators using equivalence.","2","middle","For 1/2 plus 1/3, the student finds 5/6.","Student adds numerators and denominators directly.","Pose related-denominator additions. Ask the student to solve each.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N05","[]","Subtract fractions with related denominators","Student can subtract fractions with related denominators.","3","middle","For 3/4 minus 1/3, the student finds 5/12.","Student subtracts without making the denominators the same.","Pose related-denominator subtractions. Ask the student to solve each.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N05","[]","Solve a fraction problem in context","Student can solve a practical problem involving adding or subtracting fractions.","4","late","For a recipe needing 2/3 and 1/4 cups, the student finds 11/12 of a cup.","Student adds the numbers without using equivalent fractions.","Pose practical fraction problems. Ask the student to solve each.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N06","[]","Multiply a decimal by a power of 10","Student can multiply a decimal by 10, 100 or 1000.","1","early","For 3.4 x 100, the student gives 340.","Student adds zeros instead of shifting the place value.","Pose decimal multiplications by powers of 10. Ask the student to solve.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N06","[]","Divide a decimal by a power of 10","Student can divide a decimal by 10, 100 or 1000.","2","middle","For 56 divided by 100, the student gives 0.56.","Student removes digits instead of shifting the place value.","Pose decimal divisions by powers of 10. Ask the student to solve.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N06","[]","Explain the place value effect","Student can explain the effect of multiplying or dividing a decimal by a power of 10.","3","middle","The student explains the digits shift one place left when multiplying by 10.","Student states the answer but cannot explain the place value shift.","Ask the student to explain what happens to the digits when multiplying or dividing by 10.","False","False","system_default","","","False","pending_review","",""
"","AC9M6N06","[]","Check the result with estimation","Student can use estimation to check a decimal multiplication or division.","4","late","For 3.4 x 100, the student estimates about 340 and confirms it.","Student does not check, or cannot estimate to compare.","Give answered decimal calculations. Ask the student to estimate and judge each.","False","False","system_default","","","False","pending_review","",""
