"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9M5SP01","[]","Match an object to its net","Student can match a three-dimensional object to its two-dimensional net.","1","early","The student matches a cube to the net with six squares.","Student matches by the number of pieces without checking they fold up.","Show objects and nets. Ask the student to match each object to its net.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP01","[]","Identify the faces in a net","Student can identify how the faces of a net relate to the object.","2","middle","The student points out which square of a cube net becomes the top.","Student cannot track which face goes where when folded.","Show a net. Ask the student to identify the faces of the folded object.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP01","[]","Build an object from its net","Student can build a three-dimensional object from its net.","3","middle","The student folds a net to build a triangular prism.","Student folds a net that does not close up into the object.","Give a net. Ask the student to build the object.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP01","[]","Sketch a net for an object","Student can sketch a net for a given prism or pyramid.","4","late","The student sketches a correct net for a square pyramid.","Student sketches a net with the wrong number or arrangement of faces.","Name a prism or pyramid. Ask the student to sketch a net for it.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP02","[]","Plot a point with coordinates","Student can plot a point on a grid using coordinates.","1","early","The student plots (3, 2) by going across 3 and up 2.","Student reverses the coordinates, plotting (2, 3).","Give coordinates and a grid. Ask the student to plot each point.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP02","[]","Read the coordinates of a point","Student can read the coordinates of a point on a grid.","2","middle","The student reads a point as (4, 1).","Student gives the coordinates in the wrong order.","Mark points on a grid. Ask the student to give the coordinates of each.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP02","[]","Describe movement using coordinates","Student can describe movement between points using coordinates and directional language.","3","middle","The student describes moving from (1, 1) to (1, 4) as up 3.","Student describes a move that does not match the coordinates.","Give two points. Ask the student to describe the movement between them.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP02","[]","Construct a coordinate system","Student can construct a grid coordinate system and use it to locate positions.","4","late","The student draws labelled axes and plots given positions correctly.","Student labels the axes inconsistently so points cannot be located.","Ask the student to set up a coordinate grid and plot given positions.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP03","[]","Perform a translation","Student can translate a shape and describe the movement.","1","early","The student slides a shape 3 right and 2 down and describes it.","Student rotates or reflects the shape instead of translating.","Give a shape. Ask the student to translate it and describe the move.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP03","[]","Perform a reflection","Student can reflect a shape across a line.","2","middle","The student reflects a shape across a vertical line so it mirrors.","Student translates the shape instead of mirroring it.","Give a shape and a mirror line. Ask the student to reflect it.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP03","[]","Perform a rotation","Student can rotate a shape about a point.","3","middle","The student rotates a shape a quarter turn about a corner.","Student moves the shape without turning it.","Give a shape and a centre. Ask the student to rotate it a given turn.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP03","[]","Describe what stays the same","Student can describe what changes and what stays the same under a transformation.","4","middle","The student says the shape's size stays the same but its position changes.","Student thinks the shape changes size or form under a slide or turn.","After a transformation, ask the student what changed and what stayed the same.","False","False","system_default","","","False","pending_review","",""
"","AC9M5SP03","[]","Identify symmetry in a pattern","Student can identify the symmetries in a transformed pattern.","5","late","The student identifies a line of symmetry in a reflected pattern.","Student confuses the types of symmetry, or misses one.","Show a transformed pattern. Ask the student to identify its symmetries.","False","False","system_default","","","False","pending_review","",""
