"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9S2U01","[]","Identify objects in the sky and space","Student can name common objects seen in the sky and in space, including the sun, moon, stars and planets, when shown pictures of them or asked to point them out.","1","early","Shown picture cards (sun, moon, a star, a planet, a cloud, a bird), the student picks out the sun, moon, star and planet and names each one.","Student groups everything in the sky together as 'stars', or calls the moon a planet.","Show four or five picture cards of sky and space objects mixed with non-examples (cloud, bird, plane). Ask the student to name each space object.","False","False","system_default","","","False","pending_review","","Confidence high. Foundational identification IC, directly from elaboration 1. No scaffold removal."
"","AC9S2U01","[]","Describe Earth's shape from space images","Student can describe the shape of Earth as round, like a ball or sphere, using photographs or video of Earth taken from space.","2","early","Shown a photo of Earth from space, the student says Earth is round or ball-shaped, not flat.","Student describes Earth as flat based on everyday experience of the ground, or confuses a photo of Earth with the moon.","Show two or three real images of Earth from space. Ask the student what shape Earth is and how they can tell.","False","False","system_default","","","False","pending_review","","Confidence MEDIUM. Scope-edge IC: 'shape of Earth' comes from an elaboration and underpins 'Earth is a planet', but is not in the descriptor text or the achievement standard. Candidate to cut if you want a tighter set. Your call."
"","AC9S2U01","[]","Identify Earth as a planet in the solar system","Student can point to or name Earth as one of the planets when shown a model, diagram or picture of the solar system.","3","early","Given a labelled solar system poster, the student points to Earth, says it is the planet we live on, and recognises it as one of several planets near the sun.","Student thinks Earth is the centre of the solar system, or does not recognise Earth as a planet because it looks different from the others in diagrams.","Show a simple solar system diagram. Ask the student to find Earth and say what kind of object it is.","False","False","system_default","","","False","pending_review","","Confidence high. Core knowledge for the first clause of the descriptor. No scaffold removal."
"","AC9S2U01","[]","Sort sky objects by day or night","Student can sort sky objects and sights by whether they are usually seen during the day or during the night.","4","early","Given cards for the sun, stars, a bright moon and a blue daytime sky, the student places the sun and blue sky under 'day' and stars under 'night', and notes the moon can sometimes be seen in both.","Student assumes the moon is only ever a night-time object, or that stars disappear during the day rather than just being not visible.","Give the student picture cards of sky sights and two hoops labelled day and night. Ask them to sort and explain one choice.","False","False","system_default","","","False","pending_review","","Confidence high. From the day/night visibility elaboration. The moon-in-both nuance in the example is a stretch, not required for a pass."
"","AC9S2U01","[]","Describe the sun's path across a day","Student can describe how the sun appears to move across the sky during a day, from one side in the morning to high near the middle of the day to the other side in the afternoon, based on their own observation or a time-lapse rather than on being told the rule.","5","middle","After tracking the sun at three points in a day or watching a time-lapse, the student describes the sun as low on one side in the morning, high at lunchtime, and low on the other side later.","Student says the sun 'moves' without describing a pattern, or describes the sun travelling around a still sky rather than its apparent path.","Show a time-lapse of the sun across a day, or three photos taken morning, midday and afternoon. Ask the student to describe how the sun's position changed.","False","False","system_default","","","False","pending_review","","Confidence high. Scaffold note: description specifies 'from observation or time-lapse, not from being told the rule' to separate genuine pattern observation from recall. Ceiling held at 'describe the apparent path', not 'explain why', per the achievement standard."
"","AC9S2U01","[]","Describe the pattern in changing shadows","Student can observe that shadows change in a regular way as the sun's position changes through the day, and describe that pattern.","6","middle","After marking a fixed object's shadow at three times in a day, the student says the shadow was long in the morning, shortest near midday, and long again later, and links this to where the sun was.","Student notices the shadow changed but cannot link it to the sun's position, or expects the shadow to point the same way all day.","Mark a fixed object's shadow at two or three times in a day, or show prepared photos. Ask the student to describe how and why the shadow changed.","False","False","system_default","","","False","pending_review","","Confidence high. From the shadow-length elaboration. Kept 'length' as the core observable and put direction in the example to avoid bundling two distinct observables into one IC."
"","AC9S2U01","[]","Record the moon's pattern of change","Student can record the moon's shape across several observations over weeks (a moon diary) and describe the repeating pattern in how the shape changes.","7","middle","Using a class moon diary, the student describes the moon going from a thin sliver to a full round shape and back, and notes that this keeps repeating.","Student records shapes but treats each as a one-off rather than a repeating cycle, or expects the moon to change shape within a single night.","Show a completed moon diary or a sequence of moon images across a month. Ask the student to describe the pattern in the moon's changing shape.","False","False","system_default","","","False","pending_review","","Confidence high. From the moon-diary elaboration. Depends on data gathered over time, so the checkpoint offers a prepared diary as an alternative to a month-long wait."
"","AC9S2U01","[]","Predict from an observed sky pattern","Student can use a sky pattern they have already observed, such as the moon's sequence of shapes or the sun's daily path, to predict what will happen next.","8","late","Given a moon diary showing the moon getting fuller each night, the student predicts it will be full or nearly full in a few nights and gives the pattern as the reason.","Student guesses without using the pattern, or predicts a change that breaks the observed cycle.","Show part of a sky pattern (a few days of moon shapes, or the sun's morning and midday positions). Ask the student to predict what comes next and why.","False","False","system_default","","","False","pending_review","","Confidence high. CROSS-DESCRIPTOR CANDIDATE: strongly underpins AC9S2I01 and AC9S2H01. NOT auto-linked: flagging for you to decide on linkedDescriptorIds."
"","AC9S2U01","[]","Tell regular sky events from irregular ones","Student can decide whether a given sky event is a regular, repeating event (such as a full moon each month or the sun rising each day) or an irregular, rare event (such as a 'blood' or 'blue' moon).","9","late","Given examples, the student sorts 'full moon', 'sunrise' and 'phases of the moon' as regular, and 'blood moon' and 'eclipse' as rare or irregular.","Student treats anything unfamiliar as irregular, or assumes a rare-sounding name like 'blood moon' means the event never repeats.","Name or show four or five sky events. Ask the student to sort each as regular and repeating or rare and irregular.","False","False","system_default","","","False","pending_review","","Confidence medium-high. From the regular-vs-irregular elaboration. Kept at 'identify/sort' level; reasoning about why an event is rare exceeds the Year 2 ceiling."
"","AC9S2U01","[]","First Nations sky pattern knowledge","Student can describe one example of how First Nations Peoples of Australia use patterns in the sky, such as star or moon patterns, to mark seasons, events or directions.","10","late","After hearing or reading a First Nations account, the student explains that a particular star pattern appearing signals a season or a time to act, such as when certain foods become available.","Student retells the account as a story only, without connecting it to a real observed sky pattern or its practical use.","Share an age-appropriate First Nations account of a sky pattern. Ask the student to describe the sky pattern and what it was used to know or predict.","True","False","system_default","","","False","pending_review","","Confidence medium, OPTIONAL. RECOMMEND sourcing from a First Nations authored or endorsed resource."
