"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9MFM01","[]","Use measurement language","Student can use words like long and short, heavy and light, full and empty, or fast and slow to describe objects and events.","1","early","The student says the snake toy is long and the rock is heavy.","Student uses 'big' for everything, not distinguishing length from mass or capacity.","Show various objects and events. Ask the student to describe them using measurement words.","False","False","system_default","","","False","pending_review","",""
"","AC9MFM01","[]","Compare two objects by length","Student can directly compare two objects and say which is longer or shorter.","2","early","Holding two ribbons together at one end, the student says the green one is longer.","Student compares without lining up the ends.","Give pairs of objects. Ask the student which is longer, watching whether they line up the ends.","False","False","system_default","","","False","pending_review","",""
"","AC9MFM01","[]","Compare two objects by mass","Student can directly compare two objects by holding one in each hand and say which is heavier or lighter.","3","early","Holding a book and a feather, the student says the book is heavier.","Student says the bigger object is always heavier, ignoring what hefting shows.","Give pairs including a small-heavy and large-light object. Ask which is heavier.","False","False","system_default","","","False","pending_review","",""
"","AC9MFM01","[]","Compare the capacity of two containers","Student can compare which of two containers holds more.","4","middle","Filling one cup and pouring it into another, the student says which holds more.","Student judges by height alone, assuming taller holds more.","Give two containers. Ask the student to find which holds more by pouring.","False","False","system_default","","","False","pending_review","",""
"","AC9MFM01","[]","Compare the duration of two events","Student can start two events at the same time and say which takes longer.","5","middle","Starting two timers together, the student says the sand timer finished before the song ended, so the song took longer.","Student judges by which event they liked more rather than how long it took.","Start two events together. Ask the student which one takes longer.","False","False","system_default","","","False","pending_review","",""
"","AC9MFM02","[]","Name the times of the day","Student can name times of the day: morning, lunchtime, afternoon and night.","1","early","The student names morning, lunchtime, afternoon and night when shown pictures of each.","Student mixes up the times, such as calling a dark sky 'morning'.","Show pictures of different times of day. Ask the student to name each.","False","False","system_default","","","False","pending_review","",""
"","AC9MFM02","[]","Put the times of the day in order","Student can sequence the times of the day in order.","2","early","The student orders morning, lunchtime, afternoon, night.","Student orders the pictures by where there is space rather than by time.","Give pictures of times of day. Ask the student to put them in order.","False","False","system_default","","","False","pending_review","",""
"","AC9MFM02","[]","Name the days of the week in order","Student can name the days of the week in order.","3","early","The student recites Monday through Sunday in order.","Student leaves out a day or starts from a different day each time.","Ask the student to name the days of the week in order.","False","False","system_default","","","False","pending_review","",""
"","AC9MFM02","[]","Connect an event to a time of day","Student can connect a familiar event to the time of day it usually happens.","4","middle","The student says breakfast happens in the morning and bedtime at night.","Student connects events to the wrong time, or cannot link events to times at all.","Name familiar events. Ask the student which time of day each usually happens.","False","False","system_default","","","False","pending_review","",""
"","AC9MFM02","[]","Tell school days from the weekend","Student can tell the difference between school days and the weekend.","5","middle","The student says Saturday and Sunday are not school days.","Student cannot distinguish weekdays from weekend, or names the wrong days.","Ask the student which days they come to school and which days they do not.","False","False","system_default","","","False","pending_review","",""
