id,homeDescriptorId,linkedDescriptorIds,name,description,sequenceOrder,difficultyStage,exampleOfSuccess,commonError,checkpointTask,isOptional,isArchived,ownerTier,copiedFromId,equivalentToId,suppressedByTeacher,icReadinessStatus,aiQualityFlags,reviewNotes
ac9m2m01-ic01,AC9M2M01,[],Choosing a suitable informal unit for a measurement task,"Students select an appropriate informal unit for a given measurement attribute, explaining why their choice suits the object being measured.",1,early,"Asked to measure the length of a pencil, the student chooses paper clips rather than footsteps, saying paper clips are smaller and will give a more accurate measure.","Student selects any available unit without considering whether its size suits the object, e.g. using footsteps to measure a pencil.",I want to measure the length of this book and the length of the classroom. What unit would you choose for each? Why?,false,false,system_default,,,false,active,,
ac9m2m01-ic02,AC9M2M01,[],Measuring length using uniform informal units end-to-end,Students measure the length of objects by placing identical informal units end-to-end with no gaps or overlaps and counting the total.,2,early,"The student lines up 9 blocks end-to-end along a pencil case with no gaps, counts carefully, and records the length as 9 blocks.","Student leaves gaps between units or overlaps them, producing an inaccurate count, without noticing the error.",Measure the length of your desk using cubes. Make sure there are no gaps. How many cubes long is it?,false,false,system_default,,,false,active,,
ac9m2m01-ic03,AC9M2M01,[],Measuring and comparing capacity using informal units,Students measure the capacity of containers by filling with a consistent informal unit (e.g. a cup or spoon) and compare two or more containers by their counts.,3,early,"The student fills Container A with 6 cups of sand and Container B with 9 cups, then says Container B holds more because it needed more cups.","Student compares containers by visual appearance (taller looks like more) without measuring, or uses different sized scoops for each container.",Fill this jar with spoonfuls of rice. Count as you go. Then fill this other jar. Which holds more?,false,false,system_default,,,false,active,,
ac9m2m01-ic04,AC9M2M01,[],Measuring and comparing mass using balance scales,"Students use balance scales and informal units (e.g. blocks or marbles) to measure and compare the mass of objects, recording results.",4,middle,"The student places an apple on one side of a balance scale, adds blocks to the other side until balanced, counts 14 blocks, and records the apple as 14 blocks mass.",Student tips the balance and declares which side is heavier without using units to quantify the difference.,Use the balance scale and these blocks to find the mass of this rock. How many blocks does it balance with?,false,false,system_default,,,false,active,,
ac9m2m01-ic05,AC9M2M01,[],Recognising that unit size affects the count,"Students demonstrate that measuring the same object with a larger unit gives a smaller count and a smaller unit gives a larger count, explaining the inverse relationship.",5,middle,"The student measures a book as 8 large blocks long and 15 small blocks long, then explains that the small blocks give a bigger number because each one covers less space.","Student thinks a bigger number always means a longer object, not understanding that the count depends on unit size.",Measure this same pencil with the big blocks and then with the small blocks. Why are the numbers different?,false,false,system_default,,,false,active,,Cross-descriptor link candidate: connects to AC9M3M01 (metric units) as the inverse relationship between unit size and count is the conceptual foundation for understanding why we use standard units.
ac9m2m01-ic06,AC9M2M01,[],Ordering three or more objects by measurement,"Students measure three or more objects using the same informal unit and order them from smallest to largest, justifying their order using counts.",6,middle,"The student measures three pencils as 6, 9 and 7 blocks respectively, then orders them correctly: red (6), green (7), blue (9) from shortest to longest.","Student orders by visual comparison after measuring, ignoring the recorded counts when they conflict with appearance.",Measure these three objects with paper clips. Put them in order from shortest to longest using your measurements.,false,false,system_default,,,false,active,,
ac9m2m01-ic07,AC9M2M01,[],Recording and communicating measurement results,"Students record measurements clearly using number and unit, and communicate results to others in a way that allows comparison without seeing the original objects.",7,late,"The student records the table as 23 cubes long and the chair as 14 cubes long, then tells a classmate the table is longer because 23 is more than 14.","Student records only the number without the unit, making it impossible to compare results measured with different units.",Measure two things in the room. Write your results so that someone in another class could compare them without coming to see the objects.,false,false,system_default,,,false,active,,
ac9m2m02-ic01,AC9M2M02,[AC9M2N03],Identifying halves and quarters in everyday measurement contexts,"Students recognise and name halves and quarters in familiar measurement situations such as half a cup, quarter of a metre, or half an hour.",1,early,"The student points to the half-cup mark on a measuring jug and says that is half a cup, and identifies the quarter-hour mark on a clock face.","Student can name halves and quarters in food contexts but does not recognise the same fractions applied to length, capacity or time.",Find something in the room that shows a half or a quarter. Explain how you know it is a half or a quarter.,false,false,system_default,,,false,active,,Cross-descriptor link candidate: connects to AC9M2N03 (fractions) as measurement contexts apply the same half/quarter/eighth concepts.
ac9m2m02-ic02,AC9M2M02,[],Demonstrating halves and quarters through folding and cutting,"Students create halves, quarters and eighths by folding or cutting objects, verifying that each part is equal.",2,early,"The student folds a strip of paper in half, then in half again to make quarters, checking each section is the same size by overlapping.","Student folds unevenly, creating parts of different sizes, then names them as halves or quarters without checking equality.",Fold this strip of paper to show quarters. How do you know each part is the same size?,false,false,system_default,,,false,active,,
ac9m2m02-ic03,AC9M2M02,[],Using half and quarter in cooking and capacity measurement,"Students interpret and use half and quarter measures in practical cooking or capacity contexts, applying the concept to measuring jugs and spoons.",3,middle,"When a recipe says half a cup of flour, the student fills the cup to the halfway mark and explains that means exactly two of those would fill the whole cup.","Student fills to an approximate level without checking the halfway mark, treating half as roughly less than a full amount.",The recipe needs a quarter cup of sugar. Show me how you would measure that exactly.,false,false,system_default,,,false,active,,
ac9m2m02-ic04,AC9M2M02,[AC9M2M04],Connecting half and quarter to clock time,"Students identify half-past and quarter-past/quarter-to times on an analog clock, connecting the fraction of the clock face to the duration of time.",4,middle,"The student says half-past 3 means the minute hand has gone halfway around the clock, which is 30 minutes, and points to the 6.",Student can read half-past by rote (hand on 6) but cannot explain the connection to half of the clock face or 30 minutes.,Show me half-past 7 on the clock. Why is it called half-past?,false,false,system_default,,,false,active,,Cross-descriptor link candidate: connects to AC9M2M04 (reading analog clock) as half and quarter past are the same fractions applied to the clock face.
ac9m2m02-ic05,AC9M2M02,[],Identifying halves and quarters in length and distance,"Students apply half and quarter concepts to lengths, identifying the halfway point of a line or distance and using language like half a metre.",5,middle,"Given a 1 metre length of string, the student folds it to find the halfway point and labels it half a metre, then folds again to find a quarter metre.","Student estimates the halfway point visually without folding or measuring, often placing the mark well off centre.",Here is a 1 metre strip of paper. Find the halfway mark. Now find the quarter mark.,false,false,system_default,,,false,active,,
