"id","homeDescriptorId","linkedDescriptorIds","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","copiedFromId","equivalentToId","suppressedByTeacher","icReadinessStatus","aiQualityFlags","reviewNotes"
"","AC9M5M01","[]","Choose an appropriate metric unit","Student can choose an appropriate metric unit for measuring an attribute.","1","early","To measure a room, the student chooses metres rather than millimetres.","Student chooses a unit that is too small or too large for the task.","Name things to measure. Ask the student which metric unit suits each.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M01","[]","Order metric units by size","Student can order metric units of an attribute from largest to smallest.","2","middle","The student orders kilometre, metre, centimetre, millimetre.","Student mixes up the order, or muddles units of different attributes.","Give metric units of length or mass. Ask the student to order them by size.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M01","[]","Use a smaller unit for accuracy","Student can use a smaller unit to obtain a more accurate measure.","3","middle","The student measures in centimetres rather than metres for a more accurate length.","Student keeps a unit too large to capture the detail needed.","Pose a measuring task needing precision. Ask the student which unit gives a better measure.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M01","[]","Use a combination of units","Student can record a measure using a combination of units.","4","late","The student records a height as 1 m 35 cm.","Student records only one unit, losing accuracy or meaning.","Pose measures that span two units. Ask the student to record each.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M02","[]","Calculate the perimeter of a rectangle","Student can calculate the perimeter of a rectangle.","1","early","For a 6 m by 4 m rectangle, the student finds 20 m.","Student adds only two sides, or confuses perimeter with area.","Give rectangles with labelled sides. Ask the student to find the perimeter.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M02","[]","Calculate the area of a rectangle","Student can calculate the area of a rectangle in square units.","2","middle","For a 6 m by 4 m rectangle, the student finds 24 square metres.","Student adds the sides instead of multiplying for area.","Give rectangles. Ask the student to find the area.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M02","[]","Find the perimeter of an irregular shape","Student can find the perimeter of an irregular shape by adding all sides.","3","middle","The student adds every side of an L-shaped figure to find the perimeter.","Student misses a side, or includes an internal line.","Give irregular shapes with labelled sides. Ask the student to find each perimeter.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M02","[]","Solve a practical area problem","Student can solve a practical problem involving area, such as floor covering.","4","late","The student finds how much carpet a room needs by calculating its area.","Student finds perimeter instead of area, or uses wrong units.","Pose a practical area problem. Ask the student to solve it.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M03","[]","Convert 12-hour time to 24-hour time","Student can convert a time from 12-hour to 24-hour format.","1","early","The student writes 3:30 pm as 15:30.","Student adds 12 to am times, or leaves pm times unchanged.","Give 12-hour times. Ask the student to write each in 24-hour time.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M03","[]","Convert 24-hour time to 12-hour time","Student can convert a time from 24-hour to 12-hour format.","2","middle","The student writes 19:45 as 7:45 pm.","Student subtracts 12 from morning times, or mislabels am and pm.","Give 24-hour times. Ask the student to write each in 12-hour time.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M03","[]","Read a 24-hour timetable","Student can read and use a timetable written in 24-hour time.","3","middle","The student reads a flight departing at 14:05 as leaving at 2:05 pm.","Student misreads the 24-hour times on the timetable.","Give a 24-hour timetable. Ask the student to answer questions about it.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M03","[]","Solve a duration problem using 24-hour time","Student can solve a duration problem using 24-hour time.","4","late","From 13:20 to 15:05, the student finds 1 hour 45 minutes.","Student miscounts across the hour, or converts incorrectly.","Pose duration problems in 24-hour time. Ask the student to solve each.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M04","[]","Measure an angle with a protractor","Student can measure an angle in degrees using a protractor.","1","early","The student measures an angle as 65 degrees, lining up the protractor correctly.","Student reads the wrong scale on the protractor, or misaligns the baseline.","Give angles and a protractor. Ask the student to measure each.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M04","[]","Estimate the size of an angle in degrees","Student can estimate the size of an angle in degrees before measuring.","2","middle","The student estimates an angle as about 90 degrees, then checks.","Student estimates with no reference to known angles like 90 degrees.","Show angles. Ask the student to estimate each in degrees before measuring.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M04","[]","Classify an angle by its measure","Student can classify an angle by its degree measure.","3","middle","The student says a 120 degree angle is obtuse.","Student names the angle type without regard to the measure.","Give angle measures. Ask the student to name the type of each.","False","False","system_default","","","False","pending_review","",""
"","AC9M5M04","[]","Construct an angle with a protractor","Student can construct an angle of a given size using a protractor.","4","late","The student constructs a 45 degree angle accurately.","Student draws the angle without measuring, or measures from the wrong line.","Name angle sizes. Ask the student to construct each with a protractor.","False","False","system_default","","","False","pending_review","",""
