"id","homeDescriptorId","name","description","sequenceOrder","difficultyStage","exampleOfSuccess","commonError","checkpointTask","isOptional","isArchived","ownerTier","icReadinessStatus","linkedDescriptorIds","reviewNotes"
"ac9e2le01-ic01","AC9E2LE01","Identifies how a character is connected to their setting","Student can describe how a character in a literary text is suited to or shaped by their setting, using evidence from the text.","1","early","Student explains: In the fairytale the witch lives in a dark forest because witches are mysterious and scary — the dark forest matches that. She wouldn't belong in a sunny garden.","Student describes the character and the setting separately without explaining the connection between them.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le01-ic02","AC9E2LE01","Recognises recurring character-setting patterns across texts","Student can identify that certain types of characters appear in certain types of settings across different literary texts and explain why this pattern exists.","2","middle","Student explains: In lots of fairytales royalty live in castles and children go into forests. Authors use these settings because castles feel powerful and safe and forests feel unknown and dangerous — they match the characters.","Student identifies the pattern by listing examples but cannot explain why those character-setting combinations recur across texts.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le01-ic03","AC9E2LE01","Compares how different authors connect characters to settings","Student can compare how two authors from different cultural contexts use setting to reflect or shape their characters, including texts by First Nations Australian authors.","3","middle","Student compares a fairytale set in a European castle with a First Nations Australian story set on Country and explains: In the fairytale the castle shows the character has power. In the First Nations story the Country is connected to who the character is — it is part of their identity not just where they live.","Student notes that settings are different across texts but does not connect the setting to what it reveals or communicates about the characters.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le01-ic04","AC9E2LE01","Uses character-setting connection in own creative writing","Student can deliberately connect a character to a setting in their own creative writing so that the setting reflects or reveals something about the character.","4","late","Student writes a character who is shy and quiet and places them in a small hidden garden rather than a busy street, explaining: I chose the hidden garden because my character likes to be alone — the setting shows that without me having to say it.","Student creates a character and a setting but selects the setting randomly rather than using it to reflect or reveal the character.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le02-ic01","AC9E2LE02","Identifies features of a literary text","Student can name and describe at least two features of a literary text such as the main character, the setting, the problem and the resolution.","1","early","After reading a picture book, student identifies: The main character is a fox who wants to find a home. The setting is a cold forest in winter. The problem is that the fox keeps getting turned away.","Student retells the story without naming the literary features, or names a feature but cannot describe it accurately.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le02-ic02","AC9E2LE02","Gives a reason for a preference connected to a text feature","Student can state a personal preference about a literary text and connect that preference to a specific feature of the text rather than a general feeling.","2","early","Student says: I preferred this story to the last one because I liked the setting better — it was set on a farm and I have been to a farm so I could imagine it really clearly.","Student states a preference without connecting it to a specific feature of the text, or gives a reason that is not connected to the text at all.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le02-ic03","AC9E2LE02","Responds to the behaviour of non-human characters","Student can discuss the positive and negative behaviours of non-human characters such as animals and explain how those behaviours made them feel as a reader.","3","middle","Student says: The fox kept lying to get what he wanted and that made me feel annoyed at him even though I wanted him to find a home. It made the story interesting because I wasn't sure if I should cheer for him.","Student describes what the character did without reflecting on how the behaviour affected them as a reader or what it made them think about the character.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le02-ic04","AC9E2LE02","Connects a text to own experience to explain a preference","Student can explain a preference for a text by making a specific connection between the text and their own experience or knowledge.","4","late","Student explains: I preferred stories set in familiar places because when the character went to the beach I already knew what sand feels like and what the waves sound like — it made the story feel real to me in a way a story set in space doesn't.","Student mentions a personal connection but does not use it to explain why the connection influenced their preference for that text.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le03-ic01","AC9E2LE03","Identifies language used to describe a character","Student can locate words and phrases in a literary text that describe a character and explain what impression those words create.","1","early","Student finds: 'the wolf grinned a wide and wicked grin' and explains: Wicked makes the wolf sound evil and the word grinned sounds sneaky — it makes you think he is up to something bad.","Student locates descriptive words but cannot explain what impression they create for the reader.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le03-ic02","AC9E2LE03","Identifies verb groups used to convey action and emotion","Student can locate verb groups in a literary text that convey how a character moves, speaks or feels and explain what those verb groups communicate beyond a simple action.","2","early","Student identifies 'she crept silently' and explains: Crept tells you she was moving slowly and carefully — it is more specific than walked and tells you something about how she was feeling too, like she was nervous or trying to hide.","Student identifies the verb but reads it only as a physical action without considering what it conveys about the character's emotion or motivation.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le03-ic03","AC9E2LE03","Compares how two authors describe the same type of character or setting","Student can compare the language used by two different authors to describe a similar character type or setting and identify key differences in the impression each creates.","3","middle","Student compares two descriptions of a forest: Author A uses dark and twisted branches — Author B uses dappled sunlight through tall trees. Student explains: Both are forests but Author A makes it feel dangerous and Author B makes it feel peaceful. The language choice changes how you feel about the place.","Student notes that the descriptions are different without explaining how the language choices create different impressions for the reader.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le03-ic04","AC9E2LE03","Uses precise language to describe a character or setting in own writing","Student can deliberately select words and verb groups in their own creative writing to create a specific impression of a character or setting.","4","late","Student revises 'The man walked into the room' to 'The tall stranger strode into the dimly lit room' and explains: Strode makes him sound confident and powerful. Dimly lit makes the room feel mysterious.","Student adds adjectives but selects them randomly rather than deliberately choosing words that create a specific impression.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le04-ic01","AC9E2LE04","Identifies rhyme in a poem or song","Student can identify rhyming words in a poem or song and locate the pattern of rhyme within the text.","1","early","Student listens to a poem and identifies the rhyming pairs at the end of lines: cat/hat, moon/soon, day/play and can describe where the rhymes occur — at the end of every second line.","Student identifies that a text rhymes but cannot locate the specific rhyming words or describe the pattern.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le04-ic02","AC9E2LE04","Identifies and claps the rhythm of a poem or chant","Student can identify the rhythm of a poem or chant by clapping or tapping along and recognise whether the rhythm is regular or irregular.","2","early","Student claps along to a chant and identifies: Every line has the same beat — da-DUM-da-da-DUM — it is the same pattern all the way through.","Student claps along but at an inconsistent pace, not tracking the underlying rhythmic pattern.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le04-ic03","AC9E2LE04","Reproduces a sound or word pattern from a poem","Student can orally reproduce a rhythmic or rhyming pattern from a poem, chant or song, maintaining the rhythm and rhyme scheme of the original.","3","middle","Student recites a familiar poem accurately, maintaining the correct rhythm and rhyme and not substituting words that would break the pattern.","Student reproduces the general meaning of the poem but loses the rhythm or substitutes words that break the rhyme scheme.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le04-ic04","AC9E2LE04","Creates new lines using a borrowed rhythmic or rhyming pattern","Student can compose new lines of poetry or a chant that follow the same rhythmic or rhyming pattern as a model text.","4","middle","Given the pattern 'The __ is __ and __' from a model poem, student generates: The ocean is wild and deep. The mountain is tall and cold. — maintaining the pattern.","Student creates new content but does not maintain the rhythm or rhyme pattern of the model, producing lines that break the established pattern.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le04-ic05","AC9E2LE04","Experiments with sound devices in own poetry","Student can deliberately use rhyme, rhythm, alliteration or onomatopoeia in their own poetry and explain the effect they were aiming for.","5","late","Student writes a short poem using alliteration: Seven silver stars slid slowly across the sky and explains: I used lots of s sounds because it sounds smooth and quiet like stars moving.","Student includes a sound device but cannot explain why they chose it or what effect it creates for the reader.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le05-ic01","AC9E2LE05","Identifies structural features of a familiar literary text to adapt","Student can identify the key structural features of a familiar text — characters, setting, problem, resolution — that could be changed to create an adapted version.","1","early","Student says: In the original story the characters are three pigs and a wolf. The problem is the wolf wants to eat them. I could change the characters to three bears and a fox and have a different problem.","Student wants to retell the original story rather than identify which elements could be changed to create an adaptation.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le05-ic02","AC9E2LE05","Invents alternative speech or dialogue for a character","Student can write or perform speech or dialogue for a familiar character that fits their personality but reflects a new event or alternative outcome.","2","early","Given the three little pigs story, student invents dialogue for the wolf in an alternative ending where he apologises: I am sorry I scared you all. I was just cold and hungry. Could I please come in?","Student writes dialogue that does not fit the character's established personality or that simply repeats dialogue from the original text.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le05-ic03","AC9E2LE05","Adapts a familiar text by changing a key element","Student can create an adapted version of a familiar literary text by deliberately changing one key element — character, setting or problem — while maintaining the overall structure.","3","middle","Student adapts a fairytale by changing the setting from a forest to an underwater world, adjusting details throughout so the new setting is consistent: The mermaid swam through the dark kelp forest instead of walking through the dark woods.","Student changes a surface detail such as a character's name without making consistent changes to the rest of the text to reflect the adaptation.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le05-ic04","AC9E2LE05","Improves descriptions by adding prepositional phrases","Student can add a prepositional phrase to a simple description in their own writing to make it more specific and vivid.","4","middle","Student revises 'The dog sat.' to 'The dog sat on the old wooden step, beside the front door.' and explains: The phrases tell the reader exactly where the dog is — it creates a clearer picture.","Student adds adjectives rather than prepositional phrases, not understanding that a prepositional phrase locates or elaborates on the noun rather than simply describing it.","N","FALSE","FALSE","system_default","active","",""
"ac9e2le05-ic05","AC9E2LE05","Creates and edits an adapted literary text","Student can write a complete adapted literary text, using familiar structures and language features from a model text, and edit it to improve descriptions and ensure consistency.","5","late","Student produces an adapted version of a familiar story with a new setting, consistent character voices and at least two improved descriptions using specific vocabulary or prepositional phrases added during editing.","Student produces a first draft adaptation but does not edit, leaving inconsistencies in setting or character voice and relying on vague vocabulary throughout.","N","FALSE","FALSE","system_default","active","",""
